Text,Score
اشتعل سجال علي مواقع التواصل الاجتماعي عقب الاعلان عن وقف اطلاق النار في لبنان بين من راه انتصارا لحزب الله ومن وجد شروط الاتفاق والدمار انهزاما وانتصارا للجانب الاسرائيلي فكيف علق المغردون وما الاسباب وراء ارائهم,1.8
بعد بدء سريانه هل يصمد اتفاق وقف اطلاق النار بين اسرائيل وحزب الله,2.0
اجواء من الارتياح وترحيب دولي وعربي باتفاق وقف اطلاق النار بين اسرائيل وحزب الله اللبناني والجانبان يترقبان التزام كل منهما الاخر بالاتفاق ومخاوف من اختراقه,1.4
حرب غزه هل يشهد القطاع وقف اطلاق نار بين اسرائيل وحماس بعد اتفاق لبنان؟ عربي,2.7
اسرائيل قطاع غزه حرب غزه حركه حماس,1.2
عربي حرب غزه هل يشهد القطاع وقف اطلاق نار بين اسرائيل وحماس بعد اتفاق لبنان؟ حرب غزه هل يشهد القطاع وقف اطلاق نار بين اسرائيل وحماس بعد اتفاق لبنان؟ حرب غزه هل يشهد القطاع وقف اطلاق نار بين اسرائيل وحماس بعد اتفاق لبنان؟ حرب غزه حركه حماس اسرائيل قطاع غزه عربي,2.8
شاهد البث المباشر,0.0
حرب غزه هل يشهد القطاع وقف اطلاق نار بين اسرائيل وحماس بعد اتفاق لبنان؟,2.8
صدر الصوره،,0.0
نوفمبر تشرين الثاني,0.0
بعد دخول اتفاق وقف اطلاق النار بين اسرائيل وجماعه حزب الله في لبنان يوم الاربعاء نوفمبر تشرين الثاني، تتجه الانظار صوب قطاع غزه حيث تُطرح تساؤلات بشان امكانيه التوصل قريبا الي اتفاق مماثل ينهي الحرب بين اسرائيل وحركه حماس ام ان هذا الامر لا يزال بعيد المنال,1.5
ياتي هذا في وقت قال رئيس الوزراء الاسرائيلي بنيامين نتنياهو ان ظروف التوصل الي اتفاق محتمل لاطلاق سراح الرهائن الاسرائيليين في قطاع غزه باتت افضل بقدر كبير,0.0
واضاف اعتقد ان الظروف تغيرت كثيرا للافضل ، وذلك عند سؤاله عن اتفاق محتمل للرهائن خلال مقابله مع القناه الاسرائيليه يوم الخميس نوفمبر تشرين الثاني، لكنه لم يذكر تفاصيل محدده,0.0
كان اقارب الرهائن المحتجزين منذ اكثر من عام في قطاع غزه قد اغلقوا مدخل مكتب نتنياهو في الكنيست يوم الاربعاء، مطالبين اياه بالاجتماع معهم والتوصل الي صفقه تبادل,0.0
اتفاق وارد لكن بشروط,0.0
يري الكاتب والمحلل السياسي الفلسطيني دكتور حسام الدجني في تصريح لبرنامج نقطه حوار انه اذا توفرت نفس الاراده الدوليه في الضغط علي اسرائيل لتنفيذ قرار مجلس الامن الدولي رقم الخاص بوقف اطلاق النار في غزه، ورؤيه الرئيس الامريكي جو بايدن، فان فرص التوصل لاتفاق في غزه امر مرجح,0.4
تخطي قصص مقترحه وواصل القراءه,0.0
اتفاق وقف اطلاق النار بين لبنان واسرائيل لم يصل الي البلدات الاسرائيليه,3.1
انهاء نظام خامنئي الخيار الوحيد امام اسرائيل في صراعها مع ايران يديعوت احرونوت,0.0
قصف اسرائيلي مكثف علي بيروت والضاحيه الجنوبيه، وترقب لاتفاق لوقف اطلاق النار في لبنان,1.9
ايران وحزب الله خسرتا، ولكن اسرائيل لم تنتصر في هارتس,0.0
قصص مقترحه نهايه,0.0
وارجع الدجني ذلك لعده اسباب منها ان المقاومه الفلسطينيه تقبل بهذه المقاربه التي ستجلب لسنوات طوال هدنه تمنح المجتمع الدولي مساحه للبحث في جذر المشكله وهو انهاء الاحتلال الاسرائيلي لفلسطين,0.0
ويضيف ان المجتمع الاسرائيلي بات اكثر تقبلا لاتمام صفقه يراها مهمه للغايه ستفرج عن اسير اسرائيلي في غزه، مع توقيع نتنياهو صفقه مع لبنان,0.7
ويختم الدجني قائلا ان بايدن وترامب لديهما رغبه في اتمام صفقه،,0.0
اما اذا تركت الامور كما كان في السابق فان المرجح ان يمارس نتنياهو تصعيدا اكبر في غزه لتنفيذ مخططات ورؤي حلفائه في الائتلاف الحاكم,0.0
عوامل مختلفه,0.0
تخطي يستحق الانتباه وواصل القراءه,0.0
حسابنا الرسمي علي واتساب,0.0
تابعوا التغطيه الشامله من بي بي سي نيوز عربي علي واتساب,0.0
يستحق الانتباه نهايه,0.0
يري محللون ان العوامل التي ساهمت في التوصل الي اتفاق لبنان قد لا تتوفر بنفس القدر بالنسبه لقطاع غزه,0.8
فلبنان دوله كبيره ذات سياده ولها علاقات مع كل دول العالم، كما ان جماعه حزب الله اوكلت مهمه التفاوض الي الحكومه اللبنانيه,0.0
في المقابل، تقود حركه حماس التفاوض بنفسها وترفض تكليف منظمه التحرير الفلسطينيه او السلطه الفلسطينيه بهذا الامر,0.0
ويرجع محللون الفشل في التوصل لاتفاق كذلك الي الانقسام الفلسطيني بين قطاع غزه والضفه الغربيه سياسيا وجغرافيا وغياب دوله ذات سياده قادره علي اداره مسار التفاوض,0.0
الكاتب والمحلل السياسي فتحي صباح، وهو نازح حاليا من شمالي قطاع غزه الي جنوبه، يري في حديث لبي بي سي ان من بين العوامل التي ساعدت في خروج اتفاق لبنان الي النور ان حزب الله لم يبادر بالهجوم علي اسرائيل وانما كانت حماس هي من بدا تلك الحرب بعد ان بادرت بشن هجوم كبير ضد اسرائيل ولذا تعتبر اسرائيل ان المعركه الاساسيه هي غزه وليست لبنان، فضربات الحزب كانت اسنادا لغزه كما يعلن، واسرائيل لم تكن معنيه بالهجوم علي لبنان لولا انها اعتقدت انها قضت علي كل قدرات حماس في غزه وبالتالي شعرت بوجود فرصه مهمه للقضاء علي حزب الله ايضا وعلي الحوثيين وعلي كل من يحاربها,0.8
اما العامل الثاني، وفقا لصباح فهو حجم المواجهه، فقدرات حزب الله اكبر بكثير من قدرات حماس اذ ان قدره حماس علي اطلاق صواريخ تجاه مدن اسرائيليه كبري كتل ابيب تضاءلت في الشهر الثاني من الحرب، بينما ترك حزب الله اثارا صعبه علي الاسرائيليين واوجعهم بقصف مدن المركز كتل ابيب وحيفا، واعلن ان بيروت يقابلها تل ابيب، كما تسبب الحزب في نزوح الالاف من الاسرائيليين عن مناطق سكناهم في شمالي اسرائيل,0.0
من العوامل ايضا يقول صباح ان دولا كبيره وقفت الي جانب لبنان ورفضت ما وصفته بالعدوان الاسرائيلي علي بيروت مع انها غير قادره علي ايقاف ذلك لكنها اصرت علي ايجاد اتفاق لوقف تلك الحرب,0.6
وهناك عامل مهم ايضا، بحسب الكاتب فتحي صباح، وهو ان لبنان ليس لديه اسري اسرائيليين كما في غزه ونتنياهو نفسه استغل ملف الاسري في المماطله والتسويف والهروب الي الامام من قضايا الفساد التي تلاحقه لا سيما قضايا التسريبات الاخيره التي خرجت من مكتبه وهو فقط يستخدم ملف الاسري للمراوغه والهروب وهو غير معني باتمام صفقه في غزه وغير معني بالاسري الاسرائيليين,0.4
واشار صباح الي ان حزب الله ابدي مرونه كبيره اكثر من حماس التي تتشدد اكثر في مواقفها في محاوله لتحقيق صفقه مهمه بما يضمن وقف معاناه الناس في غزه، ومن تنازلات حزب الله انه وافق علي فك الارتباط مع غزه، ووقف ربط التوصل لاتفاق في لبنان بوقف الحرب في غزه اولا كما كان يعلن دائما,0.8
استئناف جهود الوساطه,0.0
كان الرئيس الامريكي، جو بايدن، قال ان بلاده ستبذل جهودا مع الوسطاء من اجل التوصل الي اتفاق لوقف اطلاق النار في غزه، وانهاء الحرب دون وجود حماس في السلطه,0.6
واضاف بايدن في منشور علي موقع اكس عقب التوصل الي اتفاق لبنان خلال الايام المقبله، ستبذل الولايات المتحده جهدا اخر مع تركيا ومصر وقطر واسرائيل واخرين، من اجل التوصل الي وقف لاطلاق النار في غزه، واطلاق سراح المحتجزين، وانهاء الحرب دون وجود حماس في السلطه,1.4
في المقابل قالت حركه حماس انها ملتزمه بـ التعاون مع اي جهود لوقف اطلاق النار في غزه ، وذلك بعد سريان وقف اطلاق النار بين اسرائيل وحزب الله في لبنان,2.3
واضافت حماس في بيان نعرب عن التزامنا بالتعاون مع اي جهود لوقف اطلاق النار في غزه، ومعنيون بوقف العدوان علي شعبنا ، ولكن ضمن محددات هي وقف اطلاق النار، وانسحاب قوات الاحتلال، وعوده النازحين، وانجاز صفقه تبادل للاسري حقيقيه وكامله,1.6
ولم تحرز مفاوضات استمرت لشهور بهدف التوصل الي وقف لاطلاق النار سوي تقدما ضئيلا وتوقفت المفاوضات الان بعدما قالت قطر، التي تقوم بجهود الوساطه، انها ابلغت الطرفين بانها ستعلق جهودها حتي يصبح الجانبان علي استعداد لتقديم تنازلات,1.2
وتحمل حماس نتنياهو المسؤوليه عن عدم التوصل الي اتفاق لوقف اطلاق النار ينهي الحرب علي غزه، بينما يتهم نتنياهو حركه حماس بعرقله الجهود ويقول انه لا يمكن انهاء الحرب قبل تدمير حماس,0.5
هل يمكن التوصل قريبا الي اتفاق لوقف اطلاق النار في غزه؟ ولماذا؟,1.0
ما اهم العقبات التي تقف حائلا امام التوصل الي هكذا اتفاق؟,0.0
هل سيؤثر اتفاق لبنان علي مسار حرب غزه؟ كيف؟,2.4
كيف تقيمون التزام الطرفين، اسرائيل وحماس، بالتوصل الي اتفاق؟,0.0
هل تنجح اداره بايدن في الضغط علي اسرائيل وحماس في هذا الشان؟,0.0
سنناقش معكم هذه المحاور وغيرها في حلقه الجمعه نوفمبر تشرين الثاني,0.0
خطوط الاتصال تفتح قبل نصف ساعه من موعد البرنامج علي الرقم,0.0
ان كنتم تريدون المشاركه بالصوت والصوره عبر تقنيه زووم، او برساله نصيه، يرجي التواصل عبر رقم البرنامج علي وتساب,0.0
يمكنكم ايضا ارسال ارقام الهواتف الي صفحتنا علي الفيسبوك من خلال رساله خاصه,0.0
كما يمكنكم المشاركه بالراي في الحوارات المنشوره علي نفس الصفحه، وعنوانها,0.0
او عبر منصه اكس علي الوسم,0.0
يمكنكم مشاهده حلقات البرنامج من خلال هذا الرابط علي موقع يوتيوب,0.0
كلمات مفتاحيه,0.0
الاخبار الرئيسيه,0.0
الجيش السوري يتصدي لهجوم قوات المعارضه في ريف دير الزرو، وغارات مركزه علي ريف ادلب وحماه,0.0
من يرسم الخطوط بين تونس وليبيا؟,0.0
قائمه امراه من بي بي سي من هن المرشحات لهذا العام؟,0.0
الحرب في السودان بي بي سي تستمع لشهادات مؤلمه من سكان الجنينه المنكوبه,0.0
ديسمبر كانون الاول,0.0
حلب قصه جوهره سوريا التي صهرتها الحرب,0.0
من شن الهجوم علي غرب حلب ولماذا الان؟,0.0
اينشتاين قصه عبقري كان الفيزيائي الاكثر تاثيراً في القرن العشرين,0.0
نظام روما حين سعي العالم لمحكمه دوليه تُحاسب مجرمي الحروب,0.0
الاكثر قراءه,0.0
من هو ابو محمد الجولاني زعيم هيئه تحرير الشام؟,0.0
ماذا يحدث في شمال غرب سوريا، ولماذا الان؟,0.0
الجيش السوري يتصدي لهجوم قوات المعارضه في ريف دير الزرو، وغارات مركزه علي ريف ادلب وحماه,0.0
ماذا نعرف عن هجوم ايران علي اسرائيل بالصواريخ؟,0.0
اخر تحديث اكتوبر تشرين الاول,0.0
داوود حسين ونوال الكويتيه بدون جنسيه بعد القرار الجديد في الكويت,0.0
ماذا لو قرّرت النساء الاضراب عن الجنس؟,0.0
ما مواقف كل من ايران واسرائيل ومصر والامارات من الهجوم علي حلب؟,0.0
الملكه كاميلا تتغيب عن مراسم استقبال امير قطر بسبب اصابتها بعدوي في الصدر,0.0
اليوم العالمي لذوي الاعاقه تعرّف علي الرجل الذي حكم اعظم دوله من فوق كرسي متحرك,0.0
قتلي وجرحي في غارات اسرائيليه علي جنوب لبنان ردا علي قصف لحزب الله,0.9
لماذا يمكنك الاعتماد علي اخبار بي بي سي,0.0
شروط الاستخدام,0.0
عن بي بي سي,0.0
سياسه الخصوصيه,0.0
ملفات الارتباط,0.0
اتصل بـ بي بي سي,0.0
بي بي سي بي بي سي ليست مسؤوله عن محتوي المواقع الخارجيه,0.0
سياستنا بخصوص الروابط الخارجيه,0.0
